id	name	category
MESH:C034714	cellobiose phosphorylase	biolink:ChemicalEntity
NCBIGene:75284305	malQ	biolink:Gene
MESH:D000228	Adenine Phosphoribosyltransferase	biolink:ChemicalEntity
MESH:C024827	xanthine phosphoribosyltransferase	biolink:ChemicalEntity
NCBIGene:128595766	FDPS	biolink:Gene
MESH:C063507	deoxyhypusine synthase	biolink:ChemicalEntity
MESH:D001219	Aspartate Aminotransferases	biolink:ChemicalEntity
MESH:C053430	histidinol-phosphate aminotransferase	biolink:ChemicalEntity
MESH:C022393	phosphoserine aminotransferase	biolink:ChemicalEntity
NCBIGene:91289478	ectB	biolink:Gene
NCBIGene:76979729	pucG	biolink:Gene
PR:000022177	succinylornithine transaminase	biolink:Protein
MESH:D006593	Hexokinase	biolink:ChemicalEntity
MESH:C046173	fructokinase	biolink:ChemicalEntity
MESH:C062877	rhamnulokinase	biolink:ChemicalEntity
NCBIGene:71995346	NEMAJ01_0777	biolink:Gene
NCBIGene:7793921	M1425_RS07315	biolink:Gene
MESH:C021370	homoserine kinase	biolink:ChemicalEntity
NCBIGene:95661208	CP979_RS22345	biolink:Gene
MESH:C051254	hydroxyethylthiazole kinase	biolink:ChemicalEntity
MESH:C032243	2-dehydro-3-deoxygalactonokinase	biolink:ChemicalEntity
MESH:C018716	N-acetylglucosamine kinase	biolink:ChemicalEntity
MESH:C018765	N-acylmannosamine kinase	biolink:ChemicalEntity
MESH:C062896	inosine kinase	biolink:ChemicalEntity
NCBIGene:79021985	I6H45_RS04525	biolink:Gene
NCBIGene:914849	aceK	biolink:Gene
MESH:C019285	butyrate kinase	biolink:ChemicalEntity
NCBIGene:45851931	tdcD	biolink:Gene
NCBIGene:78556767	BLR63_RS26710	biolink:Gene
MESH:C020093	dTMP kinase	biolink:ChemicalEntity
MESH:D013836	Thiamin Pyrophosphokinase	biolink:ChemicalEntity
NCBIGene:97338055	ACIRQR_RS23265	biolink:Gene
NCBIGene:129204259	UGP2	biolink:Gene
NCBIGene:28855418	VFPPC_13650	biolink:Gene
NCBIGene:75814749	NEHOM01_1864	biolink:Gene
MESH:C020658	glutamine-synthetase adenylyltransferase	biolink:ChemicalEntity
MESH:C022678	streptomycin 3''-adenylyltransferase	biolink:ChemicalEntity
MESH:C056502	ribonuclease PH	biolink:ChemicalEntity
NCBIGene:78249999	CARG_RS05975	biolink:Gene
NCBIGene:80258895	ispD	biolink:Gene
NCBIGene:109597742	Alg7	biolink:Gene
MESH:C483298	CDP-diacylglycerol choline O-phosphatidyltransferase	biolink:ChemicalEntity
NCBIGene:93366727	QST88_RS00045	biolink:Gene
MESH:D008245	Lysophospholipase	biolink:ChemicalEntity
MESH:C021927	3-oxoadipate enol-lactonase	biolink:ChemicalEntity
MESH:C092167	4-hydroxybenzoyl-CoA hydrolase	biolink:ChemicalEntity
NCBIGene:93671412	yihX	biolink:Gene
NCBIGene:65789516	pgpB	biolink:Gene
MESH:C028450	exodeoxyribonuclease I	biolink:ChemicalEntity
NCBIGene:19182317	A1O7_07745	biolink:Gene
MESH:C022535	exoribonuclease II	biolink:ChemicalEntity
DRUGBANK:DB16523	Deoxyribonuclease I	biolink:ChemicalEntity
NCBIGene:40087821	FDI39_gp174	biolink:Gene
NCBIGene:19185808	A1O5_01072	biolink:Gene
UMLS:C3853624	alpha-amylase	biolink:ChemicalEntity
MESH:D001616	beta-Galactosidase	biolink:ChemicalEntity
NCBIGene:80899635	NTH1	biolink:Gene
NCBIGene:1257872	hylP.4	biolink:Gene
NCBIGene:27663216	SPSK_01007	biolink:Gene
MESH:C100181	pullulanase	biolink:ChemicalEntity
NCBIGene:139086381	Fuca	biolink:Gene
MESH:C094192	arabinogalactan endo-1,4-beta-galactosidase	biolink:ChemicalEntity
MESH:C040631	alpha, alpha-phosphotrehalase	biolink:ChemicalEntity
NCBIGene:119594117	LOC119594117	biolink:Gene
NCBIGene:75282141	ddpX	biolink:Gene
NCBIGene:110109896	LOC110109896	biolink:Gene
MESH:C090703	oligopeptidase B	biolink:ChemicalEntity
MESH:C085783	lactocepin	biolink:ChemicalEntity
MESH:C046583	pitrilysin	biolink:ChemicalEntity
NCBIGene:86947382	bepA	biolink:Gene
NCBIGene:8852126	NAEGRDRAFT_83206	biolink:Gene
MESH:C018717	N-acetylglucosamine-6-phosphate deacetylase	biolink:ChemicalEntity
NCBIGene:93551758	atzF	biolink:Gene
MESH:C039451	N-formylglutamate deformylase	biolink:ChemicalEntity
MESH:C084507	peptide deformylase	biolink:ChemicalEntity
NCBIGene:89621636	hutI	biolink:Gene
MESH:D001119	Arginase	biolink:ChemicalEntity
NCBIGene:45117907	BTH_RS02145	biolink:Gene
MESH:D003844	DCMP Deaminase	biolink:ChemicalEntity
MESH:C022383	phosphoribosyl-AMP cyclohydrolase	biolink:ChemicalEntity
UMLS:C0205776	GTP Cyclohydrolase II	biolink:ChemicalEntity
MESH:C050675	methenyltetrahydromethanopterin cyclohydrolase	biolink:ChemicalEntity
NCBIGene:54984236	HOS30_gp53	biolink:Gene
NCBIGene:23114904	HMPREF1085_RS19035	biolink:Gene
NCBIGene:28541985	AWOD_RS12380	biolink:Gene
NCBIGene:56732027	yjjX	biolink:Gene
RHEA:10260	Mg(2+)(out) + ATP + H2O = Mg(2+)(in) + ADP + phosphate + H(+)	biolink:MolecularActivity
NCBIGene:55971924	GMORB2_5699	biolink:Gene
PR:000023050	potassium-transporting ATPase potassium-binding subunit	biolink:Protein
PR:000023051	potassium-transporting ATPase ATP-binding subunit	biolink:Protein
PR:000033692	potassium-transporting ATPase KdpC subunit	biolink:Protein
MESH:C021480	kynureninase	biolink:ChemicalEntity
MESH:D009955	Ornithine Decarboxylase	biolink:ChemicalEntity
MESH:C021520	lysine decarboxylase	biolink:ChemicalEntity
NCBIGene:78147038	pyrF	biolink:Gene
MESH:D010730	Phosphoenolpyruvate Carboxylase	biolink:ChemicalEntity
MESH:C022503	pyrophosphomevalonate decarboxylase	biolink:ChemicalEntity
NCBIGene:45571324	hemE	biolink:Gene
NCBIGene:97362163	ACIRG6_RS33075	biolink:Gene
MESH:C021474	2-oxoglutarate decarboxylase	biolink:ChemicalEntity
MESH:C020019	deoxyribose-phosphate aldolase	biolink:ChemicalEntity
NCBIGene:42033873	FOIG_08698	biolink:Gene
NCBIGene:10032249	MGYG_01011	biolink:Gene
NCBIGene:71995373	NEMAJ01_0804	biolink:Gene
NCBIGene:95078380	OG715_RS21025	biolink:Gene
MESH:C023093	tagatose 1,6-diphosphate aldolase	biolink:ChemicalEntity
MESH:C018728	N-acetylneuraminate lyase	biolink:ChemicalEntity
MESH:D014447	Tyrosine Phenol-Lyase	biolink:ChemicalEntity
NCBIGene:96637394	ilvD	biolink:Gene
MESH:C022362	phosphogluconate dehydratase	biolink:ChemicalEntity
MESH:D003541	Cystathionine beta-Synthase	biolink:ChemicalEntity
NCBIGene:129547663	UROC1	biolink:Gene
MESH:C100002	hyaluronate lyase	biolink:ChemicalEntity
MESH:C023911	pectate lyase	biolink:ChemicalEntity
MESH:C022696	O-succinylhomoserine (thiol)-lyase	biolink:ChemicalEntity
NCBIGene:114605902	HAL	biolink:Gene
MESH:C021914	ornithine cyclodeaminase	biolink:ChemicalEntity
MESH:D013913	Threonine Dehydratase	biolink:ChemicalEntity
MESH:C108902	cysteine-S-conjugate beta-lyase	biolink:ChemicalEntity
MESH:C108137	cysteine sulfinate desulfinase	biolink:ChemicalEntity
MESH:D000262	Adenylyl Cyclases	biolink:ChemicalEntity
MESH:C024519	N-acyl-D-glucosamine 2-epimerase	biolink:ChemicalEntity
KEGG.ENZYME:5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)	biolink:MolecularEntity
MESH:C108846	maleate isomerase	biolink:ChemicalEntity
MESH:C019715	L-arabinose isomerase	biolink:ChemicalEntity
MESH:C062878	L-rhamnose isomerase	biolink:ChemicalEntity
MESH:C031939	5-carboxymethyl-2-hydroxymuconate delta-isomerase	biolink:ChemicalEntity
MESH:C021518	lysine 2,3-aminomutase	biolink:ChemicalEntity
NCBIGene:3473584	SACI_RS11305	biolink:Gene
NCBIGene:11407510	LOC11407510	biolink:Gene
MESH:C029194	asparaginyl-tRNA synthetase	biolink:ChemicalEntity
NCBIGene:944846	gluQ	biolink:Gene
NCBIGene:30068852	FVEG_11330	biolink:Gene
NCBIGene:60852532	asnA	biolink:Gene
MESH:D005974	Glutamate-Ammonia Ligase	biolink:ChemicalEntity
NCBIGene:91302285	IE258_RS36815	biolink:Gene
MESH:C020828	GMP synthase (glutamine-hydrolyzing)	biolink:ChemicalEntity
NCBIGene:91141166	carB	biolink:Gene
NCBIGene:87959832	IL334_007702	biolink:Gene
NCBIGene:23844686	accA	biolink:Gene
NCBIGene:19255944	MAA_01658	biolink:Gene
NCBIGene:17086191	Gasu_51260	biolink:Gene
NCBIGene:88086777	ASQ49_RS18020	biolink:Gene
NCBIGene:27369712	RHTO_05699	biolink:Gene
NCBIGene:25736357	MNEG_3479	biolink:Gene
NCBIGene:85163387	MY052_RS18135	biolink:Gene
NCBIGene:25740667	MNEG_7791	biolink:Gene
NCBIGene:55967864	GMORB2_1634	biolink:Gene
NCBIGene:78372091	FEAC_RS03805	biolink:Gene
UMLS:C1295525	N-acetylgalactosamine-6-phosphate deacetylase	biolink:ChemicalEntity
NCBIGene:1209851	atpI	biolink:Gene
NCBIGene:110942363	LOC110942363	biolink:Gene
NCBIGene:1025449	ccmB	biolink:Gene
NCBIGene:1027271	ccmC	biolink:Gene
PR:000022260	heme exporter protein D	biolink:Protein
NCBIGene:881004	ccmF	biolink:Gene
NCBIGene:93966241	OCV24_RS08535	biolink:Gene
MESH:C022315	pantetheine-phosphate adenylyltransferase	biolink:ChemicalEntity
NCBIGene:61056041	C8D77_RS34370	biolink:Gene
NCBIGene:66361072	ID12_RS02225	biolink:Gene
NCBIGene:987303	comFC	biolink:Gene
NCBIGene:987733	comGB	biolink:Gene
NCBIGene:89465189	PTA89_RS02365	biolink:Gene
PR:000022713	bacterial non-heme ferritin-like protein	biolink:Protein
NCBIGene:92273518	cyoA	biolink:Gene
NCBIGene:97017442	cyoB	biolink:Gene
UMLS:C2257058	DNA polymerase II activity	biolink:BiologicalProcess
NCBIGene:92794819	ABLC00_RS01335	biolink:Gene
NCBIGene:97218621	dnaX	biolink:Gene
NCBIGene:66832192	C2750_RS04280	biolink:Gene
NCBIGene:61407810	BJK05_RS04380	biolink:Gene
CHEMBL.TARGET:CHEMBL4295618	Enoyl-(Acyl-carrier-protein) reductase II	biolink:Protein
NCBIGene:97172319	flhF	biolink:Gene
GTOPDB:4931	flagellin	biolink:SmallMolecule
NCBIGene:7038844	AFLV_RS13380	biolink:Gene
NCBIGene:38740840	MRET_4074	biolink:Gene
NCBIGene:55970808	GMORB2_4580	biolink:Gene
NCBIGene:55967665	GMORB2_1435	biolink:Gene
NCBIGene:28821050	LY89DRAFT_633012	biolink:Gene
MESH:D013884	Thiosulfate Sulfurtransferase	biolink:ChemicalEntity
NCBIGene:915049	glpX	biolink:Gene
PR:000033907	putative type II secretion system protein F	biolink:Protein
NCBIGene:65105980	KNT13_gp070	biolink:Gene
NCBIGene:11636726	qseB	biolink:Gene
NCBIGene:49787696	EL213_RS19200	biolink:Gene
NCBIGene:93263074	DQN52_RS09280	biolink:Gene
MESH:C060508	uroporphyrin-III C-methyltransferase	biolink:ChemicalEntity
NCBIGene:905194	Cj0898	biolink:Gene
PR:000022910	protein transport protein HofB	biolink:Protein
NCBIGene:93153820	hofC	biolink:Gene
NCBIGene:11849940	KPHS_48710	biolink:Gene
PR:000022913	protein transport protein hofQ	biolink:Protein
NCBIGene:11638588	ttuB	biolink:Gene
NCBIGene:986771	lmo2773	biolink:Gene
NCBIGene:92214401	AFK63_RS15345	biolink:Gene
NCBIGene:25741916	MNEG_9041	biolink:Gene
NCBIGene:912569	motB	biolink:Gene
NCBIGene:93673344	lpxM	biolink:Gene
NCBIGene:28539770	AWOD_RS01215	biolink:Gene
MESH:C020582	glucosamine-6-phosphate isomerase	biolink:ChemicalEntity
NCBIGene:33938451	ETEE_RS03120	biolink:Gene
NCBIGene:916801	napA	biolink:Gene
NCBIGene:945984	napH	biolink:Gene
NCBIGene:62885565	JT689_RS11250	biolink:Gene
NCBIGene:3170095	TTH_RS04935	biolink:Gene
NCBIGene:778238	LOC778238	biolink:Gene
NCBIGene:11638894	pobR	biolink:Gene
MESH:C019722	arginine decarboxylase	biolink:ChemicalEntity
NCBIGene:93059275	pilA	biolink:Gene
NCBIGene:85154334	TPCG7_RS06575	biolink:Gene
NCBIGene:49950785	pilM	biolink:Gene
NCBIGene:44855300	G9465_RS02050	biolink:Gene
NCBIGene:1254523	ppdA	biolink:Gene
NCBIGene:11849348	KPHS_42970	biolink:Gene
NCBIGene:11845277	KPHS_02900	biolink:Gene
PR:000034138	prepilin peptidase-dependent protein D	biolink:Protein
NCBIGene:91974613	priB	biolink:Gene
NCBIGene:115681193	LOC115681193	biolink:Gene
NCBIGene:75184732	solA	biolink:Gene
NCBIGene:948293	wzyE	biolink:Gene
NCBIGene:27671376	SPSK_09527	biolink:Gene
NCBIGene:71995609	NEMAJ01_1040	biolink:Gene
NCBIGene:55973215	GMORB2_6992	biolink:Gene
NCBIGene:23887455	CNAG_04004	biolink:Gene
NCBIGene:23886946	CNAG_03441	biolink:Gene
NCBIGene:97185501	sra	biolink:Gene
NCBIGene:55971511	GMORB2_5283	biolink:Gene
NCBIGene:72742900	NBT67_RS03115	biolink:Gene
NCBIGene:13468000	EHEL_080600	biolink:Gene
NCBIGene:12448811	HQRW_RS13135	biolink:Gene
NCBIGene:11850184	KPHS_51130	biolink:Gene
NCBIGene:96882522	RJT68_RS06065	biolink:Gene
NCBIGene:84580351	secE	biolink:Gene
NCBIGene:84613041	araD	biolink:Gene
NCBIGene:1209822	rpoH	biolink:Gene
MESH:C026515	type I signal peptidase	biolink:ChemicalEntity
MESH:C095652	signal peptidase II	biolink:ChemicalEntity
NCBIGene:102580919	LOC102580919	biolink:Gene
NCBIGene:19897494	W97_00183	biolink:Gene
NCBIGene:80526902	QKC55_gp622	biolink:Gene
NCBIGene:948500	thiF	biolink:Gene
NCBIGene:93928141	OG437_RS14580	biolink:Gene
MESH:C115925	glycine oxidase	biolink:ChemicalEntity
MESH:D004264	DNA Topoisomerases, Type I	biolink:ChemicalEntity
NCBIGene:86056473	FYJ45_RS26110	biolink:Gene
NCBIGene:86863172	ubiF	biolink:Gene
NCBIGene:916402	ubiH	biolink:Gene
NCBIGene:949033	ubiX	biolink:Gene
NCBIGene:97367975	MRBLRC7O_RS24420	biolink:Gene
NCBIGene:93691550	virB10	biolink:Gene
PR:000028311	type IV secretion system protein VirB11	biolink:Protein
NCBIGene:92985937	virB2	biolink:Gene
NCBIGene:69584789	J7649_RS16505	biolink:Gene
NCBIGene:66686090	R7A2020_RS29025	biolink:Gene
NCBIGene:77005767	JSQ80_RS28075	biolink:Gene
NCBIGene:1137497	ATU_RS23825	biolink:Gene
PR:000028303	type IV secretion system protein virB9	biolink:Protein
NCBIGene:19257140	MAA_02854	biolink:Gene
NCBIGene:47721826	mgtE	biolink:Gene
NCBIGene:17089164	Gasu_23380	biolink:Gene
NCBIGene:63675928	SPBR_02704	biolink:Gene
MESH:C020032	diaminopimelate dehydrogenase	biolink:ChemicalEntity
NCBIGene:55967991	GMORB2_1761	biolink:Gene
NCBIGene:3919216	SAOUHSC_00869	biolink:Gene
MESH:D050548	Catechol 1,2-Dioxygenase	biolink:ChemicalEntity
MESH:C067141	cyanuric acid amidohydrolase	biolink:ChemicalEntity
NCBIGene:97290588	IP358_RS07750	biolink:Gene
NCBIGene:27666269	SPSK_04181	biolink:Gene
NCBIGene:14899573	CAOG_02978	biolink:Gene
NCBIGene:55971016	GMORB2_4788	biolink:Gene
NCBIGene:83575438	aaeB	biolink:Gene
MESH:C091139	ribonuclease HII	biolink:ChemicalEntity
NCBIGene:11849474	KPHS_44220	biolink:Gene
NCBIGene:17036809	COCSUDRAFT_38432	biolink:Gene
NCBIGene:92382214	TEOVI_000828000	biolink:Gene
NCBIGene:118051826	LOC118051826	biolink:Gene
NCBIGene:77211539	zipA	biolink:Gene
NCBIGene:91309557	Spa2297_RS32085	biolink:Gene
NCBIGene:11639877	exuT	biolink:Gene
NCBIGene:11848704	KPHS_36730	biolink:Gene
NCBIGene:17088303	Gasu_31520	biolink:Gene
NCBIGene:882426	PA3263	biolink:Gene
NCBIGene:89479567	mutS	biolink:Gene
NCBIGene:11636545	tolR	biolink:Gene
NCBIGene:57397605	PotMrB4_RS11985	biolink:Gene
NCBIGene:79717387	MNY66_RS08905	biolink:Gene
NCBIGene:11845400	KPHS_04130	biolink:Gene
NCBIGene:11845761	KPHS_07710	biolink:Gene
NCBIGene:1024550	ftsL	biolink:Gene
NCBIGene:88354990	ftsN	biolink:Gene
NCBIGene:881037	pmbA	biolink:Gene
MESH:C018032	bacterioferritin	biolink:ChemicalEntity
NCBIGene:1026855	sspA	biolink:Gene
NCBIGene:1254864	sspB	biolink:Gene
NCBIGene:912783	proQ	biolink:Gene
NCBIGene:89549348	dsbB	biolink:Gene
NCBIGene:75057835	hyaE	biolink:Gene
NCBIGene:133762724	RNH1	biolink:Gene
NCBIGene:51389954	mukB	biolink:Gene
NCBIGene:49321905	mukF	biolink:Gene
NCBIGene:948989	lolA	biolink:Gene
NCBIGene:89514767	R4537_RS13710	biolink:Gene
NCBIGene:917032	rlpA	biolink:Gene
NCBIGene:945272	seqA	biolink:Gene
NCBIGene:88807442	cpdA	biolink:Gene
NCBIGene:124184058	Ogg1	biolink:Gene
NCBIGene:78826358	recG	biolink:Gene
NCBIGene:9631646	LOC9631646	biolink:Gene
MESH:C059716	DNA helicase IV	biolink:ChemicalEntity
PR:000022886	RNA-binding protein Hfq	biolink:Protein
NCBIGene:66611852	hslJ	biolink:Gene
NCBIGene:913619	opgH	biolink:Gene
NCBIGene:104258107	TXN2	biolink:Gene
NCBIGene:85164534	dsbA	biolink:Gene
NCBIGene:17776386	X824_gp213	biolink:Gene
MESH:C042081	exoribonuclease T	biolink:ChemicalEntity
NCBIGene:95508578	Sdi02f_RS32590	biolink:Gene
NCBIGene:43176901	clpA	biolink:Gene
NCBIGene:22914283	GNI_121350	biolink:Gene
MESH:C442221	trehalose-6-phosphate phosphorylase	biolink:ChemicalEntity
NCBIGene:93306988	rhlB	biolink:Gene
NCBIGene:93361417	pncC	biolink:Gene
NCBIGene:1188638	VP_RS05510	biolink:Gene
NCBIGene:120541469	dedd1	biolink:Gene
NCBIGene:67445174	potE	biolink:Gene
RHEA:51468	(R)-lactate + a quinone = a quinol + pyruvate	biolink:MolecularActivity
NCBIGene:916192	ttdA	biolink:Gene
NCBIGene:916229	ttdB	biolink:Gene
NCBIGene:34455013	ABOM_011623	biolink:Gene
NCBIGene:82174278	BQ7997_RS06570	biolink:Gene
NCBIGene:112518550	LOC112518550	biolink:Gene
NCBIGene:92994526	cphA	biolink:Gene
NCBIGene:84696177	dsbG	biolink:Gene
NCBIGene:91009767	HELO_RS07980	biolink:Gene
MESH:C056243	phosphinothricin N-acetyltransferase	biolink:ChemicalEntity
NCBIGene:1253971	STM2449	biolink:Gene
NCBIGene:78825270	mog	biolink:Gene
NCBIGene:4344191	LOC4344191	biolink:Gene
NCBIGene:110104008	LOC110104008	biolink:Gene
NCBIGene:4489252	AHA_RS02935	biolink:Gene
NCBIGene:905474	petC	biolink:Gene
NCBIGene:94025687	petA	biolink:Gene
NCBIGene:1026381	arsB	biolink:Gene
NCBIGene:60880458	GOZ73_RS05265	biolink:Gene
NCBIGene:20040246	C922_04972	biolink:Gene
NCBIGene:125005895	si:ch211-71n6.4	biolink:Gene
NCBIGene:107441191	LOC107441191	biolink:Gene
NCBIGene:945887	pspA	biolink:Gene
NCBIGene:75186496	KXJ80_RS01640	biolink:Gene
NCBIGene:1024240	pspF	biolink:Gene
NCBIGene:1209073	CBU_1170	biolink:Gene
NCBIGene:93205946	dsbC	biolink:Gene
PR:000023413	protein NrfC	biolink:Protein
PR:000023414	protein NrfD	biolink:Protein
NCBIGene:1025048	nrfG	biolink:Gene
NCBIGene:3920615	eutD	biolink:Gene
RHEA:49096	Mg-protoporphyrin IX 13-monomethyl ester + 3 S-adenosyl-L-methionine + H2O = 3,8-divinyl protochlorophyllide a + 3 5'-deoxyadenosine + 3 L-methionine + 4 H(+)	biolink:MolecularActivity
NCBIGene:886069	glmU	biolink:Gene
NCBIGene:45815527	osmB	biolink:Gene
NCBIGene:90763307	osmE	biolink:Gene
NCBIGene:66754942	priC	biolink:Gene
NCBIGene:36540901	P168DRAFT_233650	biolink:Gene
NCBIGene:55972285	GMORB2_6060	biolink:Gene
PR:000024143	sulfur carrier protein TusA	biolink:Protein
NCBIGene:87851052	EDD37DRAFT_562610	biolink:Gene
NCBIGene:97032418	J2W46_RS03180	biolink:Gene
MESH:C068832	indolepyruvate decarboxylase	biolink:ChemicalEntity
NCBIGene:57877014	pheA	biolink:Gene
NCBIGene:55505060	ABD05_RS06970	biolink:Gene
NCBIGene:86978347	epmA	biolink:Gene
NCBIGene:93198129	hypE	biolink:Gene
NCBIGene:47556375	PverR02_RS14680	biolink:Gene
NCBIGene:83881742	bluB	biolink:Gene
NCBIGene:914897	glnB	biolink:Gene
NCBIGene:878342	glnK	biolink:Gene
NCBIGene:1254695	sufI	biolink:Gene
NCBIGene:65792015	mlaA	biolink:Gene
NCBIGene:93940364	greB	biolink:Gene
MESH:C511829	ITPA protein, human	biolink:ChemicalEntity
NCBIGene:1272588	LOC1272588	biolink:Gene
MESH:C022495	pyridoxine 4-dehydrogenase	biolink:ChemicalEntity
NCBIGene:81739393	N7483_004198	biolink:Gene
MESH:C023920	phosphonoacetaldehyde hydrolase	biolink:ChemicalEntity
NCBIGene:74304314	fdxA	biolink:Gene
RHEA:23672	L-quinate + a quinone = 3-dehydroquinate + a quinol	biolink:MolecularActivity
NCBIGene:94722480	mrcB	biolink:Gene
NCBIGene:31480439	PNUC_RS00515	biolink:Gene
NCBIGene:31773567	ATHE_RS11145	biolink:Gene
NCBIGene:914566	tsx	biolink:Gene
NCBIGene:19943085	SDRG_02358	biolink:Gene
NCBIGene:67501834	astE	biolink:Gene
NCBIGene:20036896	C922_01622	biolink:Gene
NCBIGene:947707	dusB	biolink:Gene
NCBIGene:72644128	ndhF	biolink:Gene
NCBIGene:92805105	ftsB	biolink:Gene
NCBIGene:93250893	deaD	biolink:Gene
MESH:C061037	aminoglycoside 6-adenylyltransferase	biolink:ChemicalEntity
NCBIGene:20530452	H696_05727	biolink:Gene
NCBIGene:66825465	phnN	biolink:Gene
NCBIGene:94193334	BcabD6B2_12860	biolink:Gene
NCBIGene:1255696	hupA	biolink:Gene
NCBIGene:93829009	MWN52_RS09090	biolink:Gene
NCBIGene:11845113	KPHS_01320	biolink:Gene
NCBIGene:11636948	terC	biolink:Gene
NCBIGene:78223355	nlpI	biolink:Gene
NCBIGene:947129	raiA	biolink:Gene
NCBIGene:14013677	F420_gp17	biolink:Gene
NCBIGene:78075448	AZ468_RS07470	biolink:Gene
NCBIGene:72834153	rhtB	biolink:Gene
